diane
0	0
1	0
2	0
3	1
4	4
5	35
6	6
7	4
8	0
9	0
biz
0	0
1	2
2	1
3	2
4	4
5	28
6	6
7	6
8	1
9	0
issue
0	0
1	1
2	0
3	12
4	13
5	15
6	5
7	3
8	0
9	1
ooh
0	1
1	0
2	1
3	4
4	1
5	14
6	9
7	14
8	2
9	4
dropped
0	0
1	0
2	2
3	19
4	14
5	14
6	0
7	1
8	0
9	0
mmm
0	0
1	0
2	1
3	3
4	4
5	18
6	9
7	8
8	5
9	2
distinguished
0	0
1	0
2	0
3	2
4	1
5	10
6	15
7	13
8	4
9	5
calm
0	0
1	1
2	1
3	0
4	0
5	12
6	11
7	17
8	2
9	6
taken
0	2
1	0
2	0
3	14
4	9
5	17
6	5
7	3
8	0
9	0
london
0	1
1	0
2	0
3	0
4	0
5	12
6	14
7	13
8	2
9	8
load
0	0
1	0
2	0
3	5
4	16
5	21
6	3
7	5
8	0
9	0
palin
0	0
1	8
2	4
3	9
4	3
5	15
6	3
7	6
8	0
9	2
colorado
0	0
1	0
2	0
3	1
4	0
5	25
6	8
7	13
8	2
9	1
lynch
0	0
1	20
2	2
3	4
4	3
5	17
6	2
7	1
8	0
9	1
what
0	0
1	0
2	0
3	3
4	10
5	32
6	4
7	1
8	0
9	0
married
0	0
1	1
2	0
3	2
4	3
5	4
6	8
7	17
8	3
9	12
omitted
0	0
1	1
2	1
3	20
4	14
5	9
6	3
7	2
8	0
9	0
lets
0	0
1	0
2	1
3	1
4	1
5	21
6	17
7	9
8	0
9	0
#tweetmyjobs
0	0
1	0
2	2
3	4
4	4
5	28
6	8
7	4
8	0
9	0
cowboys
0	0
1	0
2	0
3	5
4	1
5	10
6	10
7	17
8	0
9	7
ke
0	0
1	0
2	3
3	1
4	2
5	42
6	1
7	0
8	0
9	1
alex
0	0
1	0
2	0
3	0
4	1
5	34
6	8
7	6
8	0
9	1
experts
0	0
1	0
2	1
3	0
4	3
5	11
6	12
7	15
8	4
9	4
gray
0	0
1	0
2	0
3	14
4	8
5	18
6	3
7	7
8	0
9	0
guitar
0	0
1	0
2	0
3	0
4	1
5	9
6	2
7	18
8	6
9	14
medicine
0	0
1	1
2	1
3	9
4	7
5	12
6	6
7	12
8	2
9	0
supporters
0	1
1	0
2	1
3	1
4	0
5	9
6	14
7	19
8	2
9	3
declared
0	1
1	0
2	1
3	2
4	1
5	26
6	13
7	5
8	0
9	1
asap
0	1
1	1
2	1
3	5
4	11
5	15
6	9
7	7
8	0
9	0
shown
0	0
1	0
2	0
3	0
4	2
5	19
6	14
7	12
8	2
9	1
trust
0	0
1	0
2	0
3	0
4	1
5	5
6	3
7	23
8	9
9	9
fuck
0	0
1	13
2	1
3	11
4	2
5	7
6	4
7	8
8	0
9	4
vancouver
0	1
1	0
2	1
3	1
4	1
5	33
6	4
7	6
8	1
9	2
lauren
0	0
1	1
2	0
3	1
4	1
5	29
6	5
7	11
8	0
9	2
jan
0	0
1	0
2	0
3	1
4	5
5	29
6	7
7	6
8	0
9	2
electronic
0	0
1	0
2	0
3	1
4	0
5	13
6	13
7	15
8	3
9	5
interview
0	0
1	0
2	0
3	7
4	9
5	17
6	8
7	9
8	0
9	0
dias
0	0
1	0
2	0
3	3
4	1
5	35
6	5
7	3
8	3
9	0
mi
0	0
1	0
2	2
3	1
4	1
5	39
6	5
7	1
8	1
9	0
bay
0	1
1	0
2	0
3	1
4	1
5	18
6	8
7	17
8	2
9	2
going
0	0
1	1
2	0
3	2
4	1
5	26
6	10
7	10
8	0
9	0
businesses
0	0
1	0
2	0
3	1
4	8
5	15
6	15
7	8
8	1
9	2
artistic
0	0
1	0
2	0
3	1
4	1
5	2
6	5
7	27
8	6
9	8
silly
0	0
1	0
2	1
3	12
4	6
5	10
6	6
7	7
8	4
9	4
super
0	1
1	0
2	0
3	0
4	0
5	3
6	1
7	16
8	10
9	19
can
0	1
1	0
2	0
3	0
4	3
5	22
6	10
7	13
8	1
9	0
exercise
0	0
1	0
2	1
3	2
4	4
5	8
6	8
7	18
8	4
9	5
wild
0	0
1	1
2	0
3	9
4	3
5	10
6	12
7	10
8	2
9	3
survivors
0	0
1	0
2	0
3	0
4	3
5	8
6	8
7	20
8	6
9	5
wait
0	1
