word=win bet	pleasantness=0.821	attention=0.766	sensitivity=0	aptitude=0.968	polarity=0.852
word=crotch	pleasantness=0	attention=0	sensitivity=0	aptitude=-0.068	polarity=-0.023
word=protect king	pleasantness=0	attention=0	sensitivity=0	aptitude=0.802	polarity=0.267
word=eye-popping	pleasantness=0	attention=0	sensitivity=-0.936	aptitude=0	polarity=-0.312
word=straight	pleasantness=0.844	attention=0	sensitivity=0	aptitude=0	polarity=0.281
word=nigh	pleasantness=0.653	attention=0.646	sensitivity=-0.242	aptitude=0.31	polarity=0.456
word=simile	pleasantness=0.315	attention=0.329	sensitivity=-0.259	aptitude=0.382	polarity=0.256
word=shoe horse	pleasantness=-0.11	attention=0.095	sensitivity=-0.066	aptitude=0	polarity=-0.027
word=butter bread	pleasantness=-0.14	attention=0	sensitivity=0	aptitude=-0.082	polarity=-0.074
word=find out need	pleasantness=0.899	attention=0.861	sensitivity=0	aptitude=0.859	polarity=0.873
word=elegant	pleasantness=0.927	attention=0	sensitivity=0	aptitude=0	polarity=0.309
word=second	pleasantness=0.036	attention=-0.04	sensitivity=0	aptitude=0	polarity=0.025
word=fece	pleasantness=-0.154	attention=-0.087	sensitivity=0	aptitude=-0.238	polarity=-0.102
word=enter marathon	pleasantness=-0.049	attention=-0.033	sensitivity=0.066	aptitude=0	polarity=-0.027
word=act quickly	pleasantness=-0.092	attention=0.104	sensitivity=0	aptitude=0.099	polarity=0.037
word=buy condom	pleasantness=0	attention=0.143	sensitivity=-0.051	aptitude=0.073	polarity=0.055
word=control machine	pleasantness=0.093	attention=-0.021	sensitivity=0	aptitude=0.056	polarity=0.057
word=loathing	pleasantness=0	attention=0	sensitivity=0	aptitude=-1	polarity=-0.333
word=inanimate	pleasantness=0.03	attention=0	sensitivity=0	aptitude=0.119	polarity=0.05
word=blouse	pleasantness=0.1	attention=-0.12	sensitivity=0.05	aptitude=-0.032	polarity=0.046
word=admire	pleasantness=0	attention=0	sensitivity=0	aptitude=0.705	polarity=0.235
word=promise good	pleasantness=-0.187	attention=0	sensitivity=-0.066	aptitude=-0.065	polarity=-0.106
word=hide identity	pleasantness=-0.381	attention=0.108	sensitivity=-0.389	aptitude=0.072	polarity=-0.197
word=expensive hobby	pleasantness=0	attention=0	sensitivity=0.011	aptitude=0.09	polarity=0.026
word=dinner meal	pleasantness=0.937	attention=0	sensitivity=0	aptitude=0.828	polarity=0.588
word=doctor examination room	pleasantness=0	attention=0	sensitivity=-0.136	aptitude=-0.182	polarity=-0.106
word=clean fish	pleasantness=0.029	attention=0	sensitivity=0.042	aptitude=-0.072	polarity=-0.028
word=beautiful woman	pleasantness=0	attention=0.098	sensitivity=0	aptitude=0.107	polarity=0.068
word=summer weather	pleasantness=0.109	attention=0	sensitivity=-0.067	aptitude=0.073	polarity=0.038
word=serious student	pleasantness=0	attention=0	sensitivity=0	aptitude=0.783	polarity=0.261
word=learn tool	pleasantness=-0.075	attention=0	sensitivity=0	aptitude=0	polarity=-0.025
word=fossil	pleasantness=0	attention=0	sensitivity=0	aptitude=0.882	polarity=0.294
word=numeral	pleasantness=0.049	attention=0.113	sensitivity=0.107	aptitude=0.162	polarity=0.072
word=revitalize oneself	pleasantness=0	attention=0	sensitivity=0.037	aptitude=-0.045	polarity=-0.027
word=set down	pleasantness=0	attention=0.136	sensitivity=0.009	aptitude=0.174	polarity=0.1
word=like cost	pleasantness=0	attention=0.251	sensitivity=0	aptitude=0.163	polarity=0.138
word=make plan	pleasantness=-0.155	attention=0.173	sensitivity=-0.127	aptitude=0	polarity=-0.036
word=specialist	pleasantness=0	attention=0.088	sensitivity=-0.185	aptitude=0	polarity=-0.032
word=begin work	pleasantness=0.229	attention=0.127	sensitivity=0	aptitude=0	polarity=0.119
word=impregnate female	pleasantness=0.081	attention=0.134	sensitivity=-0.077	aptitude=0	polarity=0.046
word=jubilantly	pleasantness=0.653	attention=0.635	sensitivity=-0.244	aptitude=0.294	polarity=0.446
word=herb	pleasantness=0.062	attention=0.115	sensitivity=0	aptitude=0	polarity=0.059
word=artistic expression	pleasantness=0.681	attention=-0.572	sensitivity=0	aptitude=0.632	polarity=0.628
word=play fiddle	pleasantness=0.837	attention=0	sensitivity=0	aptitude=0	polarity=0.279
word=chirk up	pleasantness=0.655	attention=0.635	sensitivity=-0.237	aptitude=0.3	polarity=0.451
word=chassis	pleasantness=0	attention=-0.01	sensitivity=0	aptitude=0.069	polarity=0.026
word=ingratitude	pleasantness=-0.34	attention=0.441	sensitivity=-0.101	aptitude=-0.204	polarity=-0.068
word=cult	pleasantness=0.052	attention=0.223	sensitivity=-0.068	aptitude=0.163	polarity=0.123
word=put glass	pleasantness=-0.079	attention=0	sensitivity=0	aptitude=-0.086	polarity=-0.055
word=sperm bank	pleasantness=0	attention=0.098	sensitivity=0	aptitude=0	polarity=0.033
word=dork	pleasantness=-0.032	attention=-0.098	sensitivity=0.112	aptitude=-0.157	polarity=-0.068
word=calculate	pleasantness=0.047	attention=0.148	sensitivity=0	aptitude=0.107	polarity=0.101
word=pass exam	pleasantness=-0.075	attention=-0.016	sensitivity=0	aptitude=-0.143	polarity=-0.067
word=warm foot	pleasantness=0	attention=-0.024	sensitivity=0.112	aptitude=0	polarity=-0.029
word=floss tooth	pleasantness=-0.086	attention=0	sensitivity=-0.046	aptitude=0	polarity=-0.044
word=substance	pleasantness=0.049	attention=0	sensitivity=0	aptitude=0.113	polarity=0.054
word=interesting topic	pleasantness=0.5	attention=0.747	sensitivity=0	aptitude=0.959	polarity=0.735
word=break ankle	pleasantness=0	attention=-0.145	sensitivity=0.115	aptitude=-0.13	polarity=-0.033
word=elaborate	pleasantness=-0.067	attention=0.108	sensitivity=-0.086	aptitude=0.233	polarity=0.063
word=identify person	pleasantness=0.042	attention=0.227	sensitivity=-0.122	aptitude=0.298	polarity=0.148
word=want relax	pleasantness=0	attention=0.915	sensitivity=0	aptitude=0	polarity=0.305
word=controversy	pleasantness=0	attention=0	sensitivity=0.94	aptitude=0	polarity=-0.313
word=make move	pleasantness=-0.056	attention=0.08	sensitivity=-0.083	aptitude=0.166	polarity=0.036
word=puppy love	pleasantness=0.522	attention=0.674	sensitivity=-0.277	aptitude=0.27	polarity=0.396
word=give lecture	pleasantness=0.122	attention=0.066	sensitivity=0	aptitude=0	polarity=0.063
word=spin	pleasantness=0.038	attention=0	sensitivity=0.031	aptitude=0.124	polarity=0.044
word=make sick	pleasantness=-0.801	attention=-0.836	sensitivity=0.967	aptitude=0	polarity=-0.311
word=get out bed	pleasantness=-0.137	attention=-0.007	sensitivity=0	aptitude=-0.09	polarity=-0.073
word=entertain child	pleasantness=0.738	attention=0.961	sensitivity=0	aptitude=0	polarity=0.566
word=criticism	pleasantness=-0.296	attention=-0.121	sensitivity=0	aptitude=-0.29	polarity=-0.155
word=golden	pleasantness=0.049	attention=0.145	sensitivity=0	aptitude=0.171	polarity=0.122
word=minnow	pleasantness=0	attention=-0.022	sensitivity=0.044	aptitude=-0.085	polarity=-0.036
word=divide	pleasantness=-0.024	attention=0.114	sensitivity=0	aptitude=0.204	polarity=0.098
word=classification	pleasantness=0.028	attention=0.117	sensitivity=0.024	aptitude=0.078	polarity=0.066
word=go out public	pleasantness=0.06	attention=0.076	sensitivity=0	aptitude=0.071	polarity=0.069
word=gift box	pleasantness=0.827	attention=-0.935	sensitivity=0	aptitude=0.759	polarity=0.84
word=know subject well	pleasantness=-0.095	attention=-0.067	sensitivity=0.04	aptitude=-0.205	polarity=-0.091
word=replace	pleasantness=0	attention=0	sensitivity=-0.095	aptitude=0.353	polarity=0.086
word=ask person	pleasantness=0	attention=0.109	sensitivity=-0.055	aptitude=0.122	polarity=0.059
word=refuse	pleasantness=0	attention=0	sensitivity=0	aptitude=-0.101	polarity=-0.034
word=make mistake	pleasantness=-0.816	attention=0	sensitivity=0.809	aptitude=-0.866	polarity=-0.83
word=card case	pleasantness=0.029	attention=-0.033	sensitivity=0.066	aptitude=-0.086	polarity=-0.03
word=obligation	pleasantness=-0.066	attention=0.262	sensitivity=-0.207	aptitude=0.231	polarity=0.073
word=unit	pleasantness=0.052	attention=0.109	sensitivity=0.086	aptitude=0.116	polarity=0.064
word=much big human	pleasantness=0.026	attention=0	sensitivity=0.012	aptitude=0.099	polarity=0.038
word=fall off	pleasantness=0	attention=-0.808	sensitivity=-0.972	aptitude=0	polarity=-0.055
word=sexual	pleasantness=0	attention=0.095	sensitivity=0	aptitude=0.167	polarity=0.087
word=single person	pleasantness=0.077	attention=0.092	sensitivity=0	aptitude=0	polarity=0.056
word=tardiness	pleasantness=-0.026	attention=0.077	sensitivity=-0.063	aptitude=-0.104	polarity=-0.039
word=insecurity	pleasantness=-0.439	attention=0.42	sensitivity=-0.171	aptitude=-0.188	polarity=-0.126
word=exhort	pleasantness=0.655	attention=0.635	sensitivity=-0.237	aptitude=0.3	polarity=0.451
word=practice a lot	pleasantness=-0.092	attention=-0.053	sensitivity=0.063	aptitude=-0.156	polarity=-0.086
word=drink booze	pleasantness=-0.043	attention=0	sensitivity=-0.097	aptitude=-0.124	polarity=-0.088
word=keep track appointment	pleasantness=-0.068	attention=0.099	sensitivity=0.077	aptitude=-0.085	polarity=-0.044
word=moth	pleasantness=0	attention=-0.079	sensitivity=0.098	aptitude=-0.108	polarity=-0.042
word=sample	pleasantness=0	attention=0.23	sensitivity=-0.113	aptitude=0.206	polarity=0.108
word=symphony	pleasantness=0.445	attention=0.37	sensitivity=-0.142	aptitude=0.483	polarity=0.385
word=music	pleasantness=0.937	attention=0	sensitivity=0	aptitude=0	polarity=0.312
word=make steel	pleasantness=0.066	attention=0	sensitivity=0.027	aptitude=0.054	polarity=0.031
word=passport	pleasantness=0.082	attention=0.184	sensitivity=-0.075	aptitude=0.208	polarity=0.133
word=strike	pleasantness=0.37	attention=0.575	sensitivity=-0.227	aptitude=0.161	polarity=0.293
word=live long	pleasantness=0.879	attention=0.884	sensitivity=0	aptitude=0.979	polarity=0.914
word=recreational activity	pleasantness=0.077	attention=-0.081	sensitivity=0.092	aptitude=0.058	polarity=0.041
word=walk exercise	pleasantness=0	attention=0	sensitivity=0	aptitude=0.964	polarity=0.321
word=put warm clothes	pleasantness=0	attention=-0.037	sensitivity=0.059	aptitude=-0.053	polarity=-0.025
word=swap	pleasantness=-0.055	attention=0.241	sensitivity=-0.06	aptitude=0.286	polarity=0.137
word=fall asleep	pleasantness=0	attention=-0.134	sensitivity=0.047	aptitude=-0.28	polarity=-0.064
word=back pocket	pleasantness=0	attention=0.092	sensitivity=0	aptitude=0	polarity=0.031
word=paperwork	pleasantness=0.044	attention=-0.026	sensitivity=0	aptitude=0	polarity=0.023
word=holy	pleasantness=0.754	attention=0.981	sensitivity=0	aptitude=0.966	polarity=0.9
word=relax	pleasantness=0.838	attention=0.744	sensitivity=0	aptitude=0.874	polarity=0.819
word=sleep pill	pleasantness=-0.051	attention=-0.013	sensitivity=0.039	aptitude=0	polarity=-0.026
word=easter bunny	pleasantness=0.927	attention=0.742	sensitivity=0	aptitude=0.879	polarity=0.849
word=faint suddenly	pleasantness=-0.051	attention=0	sensitivity=-0.128	aptitude=0	polarity=-0.06
word=hurt	pleasantness=-0.933	attention=-0.989	sensitivity=-0.914	aptitude=0	polarity=-0.286
word=exuberantly	pleasantness=0.512	attention=0.658	sensitivity=-0.254	aptitude=0.256	polarity=0.391
word=glass	pleasantness=0	attention=0.069	sensitivity=0.025	aptitude=0.074	polarity=0.039
word=become blind	pleasantness=-0.994	attention=-0.757	sensitivity=-0.901	aptitude=0	polarity=-0.379
word=surgeon	pleasantness=-0.036	attention=0.068	sensitivity=-0.165	aptitude=-0.099	polarity=-0.077
word=record data	pleasantness=0.028	attention=-0.602	sensitivity=0	aptitude=0.354	polarity=0.328
word=lord	pleasantness=0.059	attention=0.153	sensitivity=-0.051	aptitude=0.144	polarity=0.102
word=get divorce	pleasantness=-0.814	attention=-0.742	sensitivity=0.946	aptitude=-0.807	polarity=-0.608
word=hold	pleasantness=0.022	attention=0.16	sensitivity=-0.11	aptitude=0.268	polarity=0.113
word=learn think	pleasantness=0.098	attention=0.165	sensitivity=-0.134	aptitude=0.284	polarity=0.138
word=serve food	pleasantness=0	attention=-0.174	sensitivity=0	aptitude=0.244	polarity=0.139
word=eat fruit	pleasantness=0.738	attention=0	sensitivity=0	aptitude=0	polarity=0.246
word=exit build	pleasantness=-0.025	attention=0.104	sensitivity=-0.057	aptitude=0.162	polarity=0.061
word=accomplishment	pleasantness=0.122	attention=0	sensitivity=0	aptitude=0.107	polarity=0.076
word=science lab	pleasantness=-0.063	attention=-0.026	sensitivity=-0.069	aptitude=-0.031	polarity=-0.046
word=view film home	pleasantness=0.995	attention=0.722	sensitivity=0	aptitude=0.773	polarity=0.83
word=wooden board	pleasantness=0.071	attention=0	sensitivity=0.031	aptitude=0.064	polarity=0.035
word=aloofness	pleasantness=-0.93	attention=0	sensitivity=0	aptitude=-0.726	polarity=-0.552
word=locker	pleasantness=0	attention=0.072	sensitivity=0	aptitude=0	polarity=0.024
word=vow	pleasantness=0.088	attention=0.317	sensitivity=-0.297	aptitude=0.379	polarity=0.162
word=plunger	pleasantness=0	attention=-0.044	sensitivity=0.039	aptitude=-0.097	polarity=-0.031
word=example	pleasantness=0	attention=0.142	sensitivity=-0.082	aptitude=0.258	polarity=0.106
word=bright color	pleasantness=-0.028	attention=0.259	sensitivity=-0.111	aptitude=0.104	polarity=0.075
word=win game	pleasantness=0.742	attention=0.995	sensitivity=0	aptitude=0.747	polarity=0.828
word=naive person	pleasantness=0	attention=0	sensitivity=0.894	aptitude=-0.825	polarity=-0.573
word=police station	pleasantness=0	attention=0	sensitivity=-0.059	aptitude=-0.117	polarity=-0.059
word=superbly	pleasantness=0.046	attention=-0.66	sensitivity=0	aptitude=0.365	polarity=0.357
word=use bathroom	pleasantness=-0.109	attention=0.076	sensitivity=0	aptitude=-0.06	polarity=-0.031
word=list number	pleasantness=0	attention=0.148	sensitivity=0.105	aptitude=0.187	polarity=0.077
word=keep track	pleasantness=0	attention=0.116	sensitivity=0.089	aptitude=0.067	polarity=0.031
