blase	41	4.79	1.03	3.58	1.77	4.74	0.87	7
blasphemy	659	3.83	2.43	5.25	2.31	4.75	1.39	4
bless	42	7.73	1.00	4.00	2.83	5.68	2.36	9
blind	43	3.35	2.11	4.95	2.39	3.45	1.93	47
bliss	660	6.80	2.53	4.12	2.79	5.84	2.10	4
blister	661	2.25	1.33	4.40	2.58	3.55	1.76	3
blond	662	6.20	1.51	4.00	2.20	5.45	1.10	11
bloody	584	2.08	1.16	6.50	1.63	3.62	1.83	8
blossom	44	7.09	1.00	4.61	2.35	5.52	2.21	7
blubber	663	3.31	1.93	4.58	2.56	3.42	1.92	1
blue	544	6.38	1.96	4.62	2.32	5.35	1.83	143
board	664	5.00	1.23	3.56	2.22	5.24	1.56	239
body	665	5.38	2.32	5.46	2.55	5.42	2.08	276
bold	45	7.00	1.55	5.94	2.02	6.58	1.96	21
bomb	46	1.90	1.14	7.31	2.42	4.52	3.27	36
book	47	5.55	1.19	4.20	2.73	5.45	2.28	193
bored	48	3.05	1.28	2.80	2.40	4.15	1.90	14
bottle	666	6.21	1.47	4.26	2.70	4.89	1.52	76
bouquet	667	7.55	1.54	5.85	2.54	6.05	2.16	4
bowl	49	5.54	1.48	3.50	2.16	4.58	1.72	23
boxer	585	4.92	1.90	5.04	2.31	4.73	1.28	1
boy	50	6.91	1.73	5.13	2.42	6.00	2.09	242
brave	668	7.55	1.00	6.35	2.32	7.30	1.87	24
breast	51	5.43	1.12	4.43	2.04	4.96	2.25	11
breeze	669	7.20	1.36	4.45	2.54	5.50	1.76	14
bride	670	7.88	1.33	6.25	2.74	5.67	2.57	33
bright	671	7.91	1.41	5.62	2.22	6.52	2.32	87
broken	672	2.73	1.61	5.46	2.44	4.12	1.37	63
brother	52	7.26	2.45	4.30	2.88	5.00	2.66	73
brutal	53	2.46	1.84	7.36	1.87	4.12	3.04	7
building	550	5.04	1.04	3.77	1.77	5.27	1.64	160
bullet	673	2.45	1.82	5.48	2.71	2.67	2.20	28
bunny	54	7.70	1.38	3.80	2.65	5.05	2.33	1
burdened	55	2.38	1.50	5.72	2.01	4.72	2.44	4
burial	56	1.77	1.07	5.32	2.32	3.36	1.96	11
burn	586	2.35	1.35	6.04	1.99	3.92	1.65	15
bus	541	4.31	1.81	3.77	1.61	4.65	1.57	34
busybody	674	5.52	2.58	5.36	2.74	6.33	1.93	.
butter	57	5.31	1.29	3.12	1.90	4.73	1.89	27
butterfly	58	7.48	1.20	3.48	2.59	4.70	2.30	2
