Word	Havg	StDev	FreqListRank	TwitterRank
hope	122	7.00	1.2122	--	5442
'행복나눔	123	7.00	1.4286	--	5515
기쁘군요	124	7.00	1.1606	3772	--
ㅋㅋㅋㅋㅋㅋㅋㅋ	125	7.00	1.4846	--	256
당첨자	126	7.00	1.2122	--	1740
최고의	127	6.98	1.3169	1227	483
귀여워서	128	6.98	1.0398	--	5062
대박	129	6.98	1.4213	--	387
good	130	6.98	1.3169	--	1183
성공한	131	6.98	1.3169	4323	5948
맛있게	132	6.98	1.0971	--	1156
반갑다야	133	6.98	1.1865	3856	--
따뜻한	134	6.98	0.8204	5237	401
사랑에	135	6.98	1.3923	--	3127
홧팅	136	6.98	1.3013	--	1812
best	137	6.98	1.4213	--	4454
좋아합니다	138	6.96	1.1058	--	5796
달콤한	139	6.96	0.9467	1902	2611
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	140	6.96	1.5644	--	917
대단하다	141	6.96	1.2115	--	5930
great	142	6.96	1.2115	--	5906
자유롭게	143	6.96	1.0490	3646	5417
사랑을	144	6.96	1.3087	--	744
행운이	145	6.96	1.2771	3694	5926
재미있는	146	6.96	1.1058	1985	1447
예쁘게	147	6.96	1.1421	--	3673
땡큐	148	6.96	1.2447	--	3317
데이트	149	6.94	1.2521	880	3373
좋아해요	150	6.94	1.2683	2029	3499
행복을	151	6.94	1.2683	--	3135
ㅋㅋㅋㅋㅋㅋ	152	6.94	1.4486	--	101
밝은	153	6.94	1.0382	--	3620
맛있어	154	6.94	1.0768	--	5166
꽃	155	6.94	1.1851	--	3388
^o^	156	6.94	1.2191	--	3101
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	157	6.94	1.5832	--	1520
이뻐	158	6.94	1.1851	--	2635
애인	159	6.94	1.2022	--	5581
강추~	160	6.92	1.2752	--	1078
Music	161	6.92	1.3377	--	5447
완벽해	162	6.92	1.2752	1698	--
예뻐	163	6.92	1.1925	--	6150
신나게	164	6.92	1.1578	--	2088
고마워요	165	6.92	1.0069	286	902
감사한	166	6.92	1.1400	2904	--
좋아요	167	6.92	1.2911	90	531
반가워	168	6.92	1.1036	2666	--
ㅎㅎㅎㅎ	169	6.90	1.1294	--	523
웃음이	170	6.90	0.9949	--	5385
행운의	171	6.90	1.2330	1390	--
보석	172	6.90	1.3439	1028	--
재밌어	173	6.90	1.1473	--	4860
귀여운	174	6.90	1.2164	3104	1027
으하하	175	6.90	1.1473	--	5440
이쁘게	176	6.90	1.1112	--	2578
브라보	177	6.90	1.1824	2957	--
완벽하군요	178	6.90	1.3286	4106	--
[대박	179	6.90	1.4743	--	5958
이쁜이	180	6.90	1.2495	3332	--
자유	181	6.88	1.3346	2192	1971
귀여워요	182	6.88	0.9613	--	3909
Good	183	6.88	1.3346	--	1697
반가워요	184	6.88	1.1542	--	1760
사랑과	185	6.88	1.2558	--	3754
좋다	186	6.88	1.0622	475	337
감사해	187	6.88	1.0428	2900	--
좋아하는	188	6.88	1.0230	440	313
감사합니다~	189	6.88	1.0622	--	2924
감사하고	190	6.88	1.1364	--	6041
새해복	191	6.88	1.2879	--	1331
Thank	192	6.88	1.3797	--	1909
환호	193	6.86	1.1954	1294	--
맛있겠다	194	6.86	1.0500	--	5524
신나는	195	6.86	1.1954	--	3063
건강해	196	6.86	1.0304	2316	--
고마와요	197	6.86	0.9478	2481	--
결혼식	198	6.86	1.2124	618	6089
휴가	199	6.86	1.4570	3116	5676
ㅎㅎㅎㅎㅎㅎ	200	6.86	1.5120	--	4081
방긋	201	6.84	1.2675	4271	--
원더풀	202	6.84	1.3149	--	6311
좋아해서	203	6.84	0.9765	--	5035
결혼했다	204	6.84	1.2513	3468	--
좋은글	205	6.84	1.2349	--	5885
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	206	6.84	1.6704	--	366
찬스~	207	6.84	1.0373	--	1449
월급	208	6.84	1.3756	--	4871
달콤해	209	6.84	1.0373	4893	--
귀엽다	210	6.82	1.1551	--	1937
반갑네	211	6.82	1.0631	4694	--
휴식	212	6.82	1.2567	1342	--
산타가	213	6.82	1.5077	--	2511
굿모닝	214	6.82	1.2887	--	1135
네^^	215	6.82	1.2403	--	2876
희망을	216	6.82	1.1551	5371	1703
여행	217	6.82	1.3045	1399	1880
하하	218	6.80	1.2454	4113	357
따뜻하고	219	6.80	1.0302	--	3801
멋져요	220	6.80	1.1952	1940	6008
긍정적인	221	6.80	1.3093	--	6110
좋음	222	6.80	1.2122	--	2682
착하다	223	6.80	1.0880	4738	--
웃으면서	224	6.78	1.2171	--	2660
맛있는	225	6.78	1.1830	--	1265
유머감각	226	6.78	1.0934	4515	--
굿	227	6.78	1.3596	--	1987
편안하게	228	6.78	1.1119	1947	--
굿모닝~	229	6.78	1.1301	--	5677
재밌게	230	6.78	1.2337	--	2118
보내세요^^	231	6.78	1.1301	--	5626
친절하시네요	232	6.76	1.1168	2536	--
속시원한	233	6.76	1.1350	--	1876
멋진	234	6.76	1.1877	428	544
감사	235	6.76	1.1704	1013	933
하트	236	6.76	1.3180	--	5152
웃는	237	6.76	1.1877	--	2849
멋있는	238	6.76	0.9806	--	6030
ㅋㅋㅋ아	239	6.76	1.1168	--	4648
복	240	6.76	1.4078	--	296
좋아	241	6.76	1.3786	13	319
예쁘고	242	6.76	1.1704	--	6196
안녕하세요~	243	6.76	1.0797	--	1759
ㅋㅋㅋㅋ아	244	6.76	1.4507	--	5458
ㅋㅋㅋㅋㅋ	245	6.76	1.4923	--	45
생일	246	6.76	1.3486	3027	628
고맙고	247	6.74	1.1031	--	3263
완벽	248	6.74	1.2747	1101	--
재밌겠군	249	6.74	1.0844	5278	--
thank	250	6.74	1.1572	--	4764
재미있게	251	6.74	1.1572	--	3921
푸짐한	252	6.74	1.0063	--	1893
건강한	253	6.74	1.1747	4454	3449
깨끗한	254	6.74	1.0264	4986	--
어머니	255	6.74	1.4542	1271	2695
김연아	256	6.74	1.5624	--	5918
감사하는	257	6.74	1.2423	2704	--
선물로	258	6.74	1.1395	3700	1049
빛나는	259	6.74	1.1920	--	3327
선물이	260	6.74	1.1572	--	4606
좋은거	261	6.72	1.1073	3673	4085
웃고	262	6.72	1.1256	4272	2325
활짝	263	6.72	1.3254	2491	--
안녕하세요	264	6.72	1.2296	78	141
1등	265	6.72	1.5258	--	3955
baby	266	6.72	1.1613	--	5501
잘됐어요	267	6.72	1.0506	4622	--
만세	268	6.72	1.3099	--	3661
존경	269	6.72	1.2129	2935	--
탄생	270	6.72	1.1436	3204	--
따뜻하게	271	6.72	1.0698	--	777
좋아서	272	6.72	1.0309	--	1626
착한	273	6.70	1.1473	2293	1433
편안한	274	6.70	1.3286	3476	4329
우와~	275	6.70	1.2164	--	6330
꿈꾸는	276	6.70	1.1294	--	4968
ㅎㅎㅎ	277	6.70	1.3590	--	132
재미	278	6.70	1.1294	725	4537
해냈습니다	279	6.70	1.0926	3781	--
새해	280	6.70	1.2657	--	198
좋아하고	281	6.70	1.1650	--	3767
선물은	282	6.70	1.1473	--	3407
좋아하는데	283	6.70	1.0152	--	3269
고맙게	284	6.70	0.9949	5188	--
좋네요	285	6.70	1.0738	3143	2176
애교	286	6.70	1.2164	--	4985
VIP	287	6.68	1.3915	--	2484
건강하게	288	6.68	1.0774	--	5367
achievement	289	6.68	1.2526	--	2068
응원합니다	290	6.68	1.3316	--	2380
똑똑한	291	6.68	0.9781	--	5945
nice	292	6.68	1.3161	--	4141
건강하고	293	6.68	1.0583	--	4547
귀요미	294	6.68	0.9988	--	2812
